name,mscf,yearmonth,year,month,x,y
OML 104,624062.5529,2012-12,2012,12,7.545881778,3.944807852
OML 104,492682.1451,2013-01,2013,01,7.545881778,3.944807852
OML 104,167819.1276,2013-02,2013,02,7.545881778,3.944807852
OML 104,89681.22736,2013-03,2013,03,7.545881778,3.944807852
OML 104,418058.9838,2013-04,2013,04,7.545881778,3.944807852
OML 104,1372331.652,2013-05,2013,05,7.545881778,3.944807852
OML 104,131415.3564,2013-06,2013,06,7.545881778,3.944807852
OML 104,539213.8222,2013-07,2013,07,7.545881778,3.944807852
OML 104,329730.6077,2013-08,2013,08,7.545881778,3.944807852
OML 104,167090.9604,2013-09,2013,09,7.545881778,3.944807852
OML 104,300351.6893,2013-10,2013,10,7.545881778,3.944807852
OML 104,317654.3716,2013-11,2013,11,7.545881778,3.944807852
OML 104,273732.7022,2013-12,2013,12,7.545881778,3.944807852
OML 104,258871.6806,2014-01,2014,01,7.545881778,3.944807852
OML 104,148056.8076,2014-02,2014,02,7.545881778,3.944807852
OML 104,980269.6676,2014-03,2014,03,7.545881778,3.944807852
OML 104,565842.0102,2014-04,2014,04,7.545881778,3.944807852
OML 104,475521.7486,2014-05,2014,05,7.545881778,3.944807852
OML 104,1460983.195,2014-06,2014,06,7.545881778,3.944807852
OML 104,400626.3639,2014-07,2014,07,7.545881778,3.944807852
OML 104,322449.6601,2014-08,2014,08,7.545881778,3.944807852
OML 104,153633.6818,2014-09,2014,09,7.545881778,3.944807852
OML 104,516499.5029,2014-10,2014,10,7.545881778,3.944807852
OML 104,1068901.5,2014-11,2014,11,7.545881778,3.944807852
OML 104,663313.1354,2014-12,2014,12,7.545881778,3.944807852
OML 104,468226.7841,2015-01,2015,01,7.545881778,3.944807852
OML 104,796907.2357,2015-02,2015,02,7.545881778,3.944807852
OML 104,416866.0857,2015-03,2015,03,7.545881778,3.944807852
OML 104,557222.1884,2015-04,2015,04,7.545881778,3.944807852
OML 104,472065.9293,2015-05,2015,05,7.545881778,3.944807852
OML 104,683914.1777,2015-06,2015,06,7.545881778,3.944807852
OML 104,862562.8285,2015-07,2015,07,7.545881778,3.944807852
OML 104,180147.6667,2015-08,2015,08,7.545881778,3.944807852
OML 104,58812.36842,2015-09,2015,09,7.545881778,3.944807852
OML 104,243839.9388,2015-10,2015,10,7.545881778,3.944807852
OML 104,224885.3905,2015-11,2015,11,7.545881778,3.944807852
OML 104,85170.98937,2015-12,2015,12,7.545881778,3.944807852
OML 104,448444.3728,2016-01,2016,01,7.545881778,3.944807852
OML 104,65483.42686,2016-02,2016,02,7.545881778,3.944807852
OML 104,80367.48855,2016-03,2016,03,7.545881778,3.944807852
OML 104,234275.2362,2016-04,2016,04,7.545881778,3.944807852
OML 104,242987.5813,2016-05,2016,05,7.545881778,3.944807852
OML 104,265607.7964,2016-06,2016,06,7.545881778,3.944807852
OML 104,449078.1037,2016-07,2016,07,7.545881778,3.944807852
OML 104,179375.3514,2016-08,2016,08,7.545881778,3.944807852
